screenEdgeLoop.thisRepN,screenEdgeLoop.thisTrialN,screenEdgeLoop.thisN,screenEdgeLoop.thisIndex,outerLoop.thisRepN,outerLoop.thisTrialN,outerLoop.thisN,outerLoop.thisIndex,midLoop.thisRepN,midLoop.thisTrialN,midLoop.thisN,midLoop.thisIndex,inLoop.thisRepN,inLoop.thisTrialN,inLoop.thisN,inLoop.thisIndex,contAveraging.thisRepN,contAveraging.thisTrialN,contAveraging.thisN,contAveraging.thisIndex,defineEye.thisRepN,defineEye.thisTrialN,defineEye.thisN,defineEye.thisIndex,t1Drift.thisRepN,t1Drift.thisTrialN,t1Drift.thisN,t1Drift.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,decDrift.thisRepN,decDrift.thisTrialN,decDrift.thisN,decDrift.thisIndex,incDrift.thisRepN,incDrift.thisTrialN,incDrift.thisN,incDrift.thisIndex,constDrift.thisRepN,constDrift.thisTrialN,constDrift.thisN,constDrift.thisIndex,warningESC.started,warningESC.stopped,px per cm,instructTop.started,instructTop.stopped,instructBottom.started,instructBottom.stopped,line_R_vert.started,line_R_vert.stopped,line_L_vert.started,line_L_vert.stopped,line_T_horiz.started,line_T_horiz.stopped,line_B_horiz.started,line_B_horiz.stopped,nextPoly.started,nextPoly.stopped,nextMouse.started,nextMouse.stopped,instruct.started,instruct.stopped,screenEdgePx,line.started,line.stopped,moveTri.started,moveTri.stopped,targetTri.started,targetTri.stopped,nextPoly1.started,nextPoly1.stopped,text.started,text.stopped,instructPls.started,instructPls.stopped,tryAgainPoly.started,tryAgainPoly.stopped,tryAgainButton.started,tryAgainButton.stopped,tryAgainMouse.started,tryAgainMouse.stopped,instruct1.started,instruct1.stopped,squareStart.started,squareStart.stopped,dotStart.started,dotStart.stopped,tinyDotStart.started,tinyDotStart.stopped,dumiTrialCount.started,dumiTrialCount.stopped,dumiRestrtPoly.started,dumiRestrtPoly.stopped,dumiRestrtButt.started,dumiRestrtButt.stopped,num_repeat,square_x,square2center_dist,dot2square_dist,dot_dist_list,avg_dot_dist,dist2screen,square.started,square.stopped,dot.started,dot.stopped,tinyDot.started,tinyDot.stopped,trialCounter.started,trialCounter.stopped,restartPoly.started,restartPoly.stopped,restartText.started,restartText.stopped,restartMouse.started,restartMouse.stopped,instructOops.started,instructOops.stopped,tryAgainPoly1.started,tryAgainPoly1.stopped,tryAgainButton1.started,tryAgainButton1.stopped,tryAgainMouse1.started,tryAgainMouse1.stopped,instruct2.started,instruct2.stopped,key_resp_const_trial1.keys,key_resp_const_trial1.started,key_resp_const_trial1.stopped,radialEye_stim_const_trial1.started,radialEye_stim_const_trial1.stopped,bullseye_stim_const_trial1.started,bullseye_stim_const_trial1.stopped,Instruction_4.started,Instruction_4.stopped,gradDecResp.keys,gradDecResp.started,gradDecResp.stopped,Instruction.started,Instruction.stopped,gradIncResp.keys,gradIncResp.started,gradIncResp.stopped,Instruction_3.started,Instruction_3.stopped,gradIncResp.rt,constResp.keys,constResp.started,constResp.stopped,Instruction_5.started,Instruction_5.stopped,corrAns,allKeyResp,bullsContrast,radialContrast,allKeyRT,whichTrial,tall_wide,totalTrialCount,currRatio,cueType,resp,rt,thisInd,currSize,constResp.rt,gradDecResp.rt,participant,session,which eye is blue,eye tested,previous contrast,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,112.46291663999727,None,112.46291663999727,None,None,113.46156164699642,None,113.46156164699642,None,-0.03592559800017625,None,114.53511906300264,None,114.53511906300264,None,right,"[[], [], [], [], [], [], [], 'right', [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], -0.03592559800017625, [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.058362489474689694,16,wide,disp,right,-0.03592559800017625,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,115.48667171399575,None,115.48667171399575,None,None,116.49613978998968,None,116.49613978998968,None,,None,117.5185202779976,None,117.5185202779976,None,up,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",tall trial,0.6986347036898624,17,noChange,notDisp,none,0,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,118.54556791399955,None,118.54556791399955,None,None,119.55339879498933,None,119.55339879498933,None,,None,120.55150152099668,None,120.55150152099668,None,up,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",tall trial,0.9305241843553742,18,noChange,notDisp,none,0,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,121.58220220099611,None,121.58220220099611,None,None,122.5832623699971,None,122.5832623699971,None,,None,123.59897152100166,None,123.59897152100166,None,up,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",tall trial,0.9132966488458093,19,noChange,notDisp,none,0,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,124.6054403159942,None,124.6054403159942,None,None,125.61406728299335,None,125.61406728299335,None,,None,126.6178903629916,None,126.6178903629916,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.38571211260424887,20,noChange,notDisp,none,0,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,127.6410439159954,None,127.6410439159954,None,None,128.64101608798956,None,128.64101608798956,None,,None,129.65994777299056,None,129.65994777299056,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], 'right', [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], 0.017753426989656873, [], [], []]",wide trial,0.04255040069949945,21,wide,disp,right,0.017753426989656873,0,76.07663461989986,0.017753426989656873,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,130.6777340300032,None,130.6777340300032,None,None,131.67114697399666,None,131.67114697399666,None,,None,132.68173015699722,None,132.68173015699722,None,up,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",tall trial,0.578916037468976,22,noChange,notDisp,none,0,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,133.69580706499983,None,133.69580706499983,None,None,134.69189533399185,None,134.69189533399185,None,,None,135.71194274099253,None,135.71194274099253,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.49060439350106577,23,noChange,notDisp,none,0,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,136.7162691400008,None,136.7162691400008,None,None,137.7365321929974,None,137.7365321929974,None,0.005359596005291678,None,138.75859811599366,None,138.75859811599366,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], 'right', [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], 0.005359596005291678, [], [], [], [], [], [], [], [], []]",wide trial,0.2158137761208021,24,wide,disp,right,0.005359596005291678,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,139.75795264200133,None,139.75795264200133,None,right,140.76483186898986,None,140.76483186898986,None,0.05432846400071867,None,141.7848279759928,None,141.7848279759928,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], 'right', [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], 0.05432846400071867, [], [], [], [], [], [], [], []]",wide trial,0.18128270655984235,25,wide,disp,right,0.05432846400071867,1,80.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,142.78941674499947,None,142.78941674499947,None,None,143.7866836030007,None,143.7866836030007,None,,None,144.78665950900177,None,144.78665950900177,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.3373539074993164,26,noChange,notDisp,none,0,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,145.80612599499,None,145.80612599499,None,None,146.81332132699026,None,146.81332132699026,None,-0.0408557640039362,None,147.8251029069943,None,147.8251029069943,None,right,"[[], [], [], [], [], [], [], 'right', [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], -0.0408557640039362, [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.35550996671042046,27,wide,disp,right,-0.0408557640039362,0,76.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,148.83418034198985,None,148.83418034198985,None,None,149.83318572799908,None,149.83318572799908,None,,None,150.84645026898943,None,150.84645026898943,None,right,"[[], [], [], [], [], [], 'right', [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], 0.0635362909961259, [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.24993505216526957,28,wide,disp,right,0.0635362909961259,1,80.07663461989986,,0.0635362909961259,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,151.86402432099567,None,151.86402432099567,None,None,152.8710452939995,None,152.8710452939995,None,0.018998668994754553,None,153.8974879479938,None,153.8974879479938,None,right,"[[], [], [], [], [], [], [], 'right', [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], 0.018998668994754553, [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.2556071967017969,29,wide,disp,right,0.018998668994754553,1,80.07663461989986,,,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,154.89284768399375,None,154.89284768399375,None,None,155.90167840199138,None,155.90167840199138,None,,None,156.9078493499983,None,156.9078493499983,None,right,"[[], [], [], [], [], 'right', [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], 0.04145477899874095, [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.43460351428018196,30,wide,disp,right,0.04145477899874095,2,83.55663461989987,,0.04145477899874095,,1,right,right,.7,2022_Jan_06_1056,eyeDomExp,2021.2.3,59.32581526924027,
