screenEdgeLoop.thisRepN,screenEdgeLoop.thisTrialN,screenEdgeLoop.thisN,screenEdgeLoop.thisIndex,outerLoop.thisRepN,outerLoop.thisTrialN,outerLoop.thisN,outerLoop.thisIndex,midLoop.thisRepN,midLoop.thisTrialN,midLoop.thisN,midLoop.thisIndex,inLoop.thisRepN,inLoop.thisTrialN,inLoop.thisN,inLoop.thisIndex,contAveraging.thisRepN,contAveraging.thisTrialN,contAveraging.thisN,contAveraging.thisIndex,defineEye.thisRepN,defineEye.thisTrialN,defineEye.thisN,defineEye.thisIndex,t1Drift.thisRepN,t1Drift.thisTrialN,t1Drift.thisN,t1Drift.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,decDrift.thisRepN,decDrift.thisTrialN,decDrift.thisN,decDrift.thisIndex,incDrift.thisRepN,incDrift.thisTrialN,incDrift.thisN,incDrift.thisIndex,constDrift.thisRepN,constDrift.thisTrialN,constDrift.thisN,constDrift.thisIndex,warningESC.started,warningESC.stopped,px per cm,instructTop.started,instructTop.stopped,instructBottom.started,instructBottom.stopped,line_R_vert.started,line_R_vert.stopped,line_L_vert.started,line_L_vert.stopped,line_T_horiz.started,line_T_horiz.stopped,line_B_horiz.started,line_B_horiz.stopped,nextPoly.started,nextPoly.stopped,nextMouse.started,nextMouse.stopped,instruct.started,instruct.stopped,screenEdgePx,line.started,line.stopped,moveTri.started,moveTri.stopped,targetTri.started,targetTri.stopped,nextPoly1.started,nextPoly1.stopped,text.started,text.stopped,instructPls.started,instructPls.stopped,tryAgainPoly.started,tryAgainPoly.stopped,tryAgainButton.started,tryAgainButton.stopped,tryAgainMouse.started,tryAgainMouse.stopped,instruct1.started,instruct1.stopped,squareStart.started,squareStart.stopped,dotStart.started,dotStart.stopped,tinyDotStart.started,tinyDotStart.stopped,dumiTrialCount.started,dumiTrialCount.stopped,dumiRestrtPoly.started,dumiRestrtPoly.stopped,dumiRestrtButt.started,dumiRestrtButt.stopped,num_repeat,square_x,square2center_dist,dot2square_dist,dot_dist_list,avg_dot_dist,dist2screen,square.started,square.stopped,dot.started,dot.stopped,tinyDot.started,tinyDot.stopped,trialCounter.started,trialCounter.stopped,restartPoly.started,restartPoly.stopped,restartText.started,restartText.stopped,restartMouse.started,restartMouse.stopped,instructOops.started,instructOops.stopped,tryAgainPoly1.started,tryAgainPoly1.stopped,tryAgainButton1.started,tryAgainButton1.stopped,tryAgainMouse1.started,tryAgainMouse1.stopped,instruct2.started,instruct2.stopped,key_resp_const_trial1.keys,key_resp_const_trial1.started,key_resp_const_trial1.stopped,radialEye_stim_const_trial1.started,radialEye_stim_const_trial1.stopped,bullseye_stim_const_trial1.started,bullseye_stim_const_trial1.stopped,Instruction_4.started,Instruction_4.stopped,tallResp.started,tallResp.stopped,wideResp.started,wideResp.stopped,gradDecResp.keys,gradDecResp.started,gradDecResp.stopped,Instruction.started,Instruction.stopped,gradIncResp.keys,gradIncResp.started,gradIncResp.stopped,Instruction_3.started,Instruction_3.stopped,constResp.keys,constResp.started,constResp.stopped,Instruction_5.started,Instruction_5.stopped,corrAns,allKeyResp,bullsContrast,radialContrast,allKeyRT,whichTrial,tall_wide,totalTrialCount,respList,resp,rt,thisInd,currSize,gradDecResp.rt,gradIncResp.rt,participant,session,which eye is blue,eye tested,previous contrast,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,64.29173209500732,None,64.29173209500732,None,None,65.29171277297428,None,65.29171277297428,None,None,66.30264863697812,None,66.30264863697812,None,right,"[[], [], [], [], [], [], [], 'right', [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], 0.08082343701971695, [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.22413438044371192,4,['noChange'],right,0.08082343701971695,0,54.49520365085224,,0.08082343701971695,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,67.31098750198726,None,67.31098750198726,None,None,68.32940455997596,None,68.32940455997596,None,None,69.3331669109757,None,69.3331669109757,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.09633496863324864,5,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,70.32695900002727,None,70.32695900002727,None,None,71.32828974002041,None,71.32828974002041,None,None,72.3535768709844,None,72.3535768709844,None,up,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",tall trial,0.5793872873995336,6,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,73.35268464399269,None,73.35268464399269,None,None,74.35921451600734,None,74.35921451600734,None,None,75.36732874601148,None,75.36732874601148,None,up,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",tall trial,0.8241263374391316,7,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,76.38659384899074,None,76.38659384899074,None,None,77.37814020499354,None,77.37814020499354,None,None,78.38928032200783,None,78.38928032200783,None,right,"['right', [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[0.04625312198186293, [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.3804817005889576,8,['noChange'],right,0.04625312198186293,0,54.49520365085224,0.04625312198186293,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,79.40635796898277,None,79.40635796898277,None,None,80.41146366298199,None,80.41146366298199,None,None,81.41339291800978,None,81.41339291800978,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.20889047191601473,9,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,82.43915951100644,None,82.43915951100644,None,None,83.43922177399509,None,83.43922177399509,None,None,84.43206607899629,None,84.43206607899629,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.024973009872325203,10,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,85.45908213302027,None,85.45908213302027,None,None,86.44851352600381,None,86.44851352600381,None,None,87.47030035901116,None,87.47030035901116,None,up,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",tall trial,0.6387218287336183,11,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,88.4696712649893,None,88.4696712649893,None,None,89.46845069597475,None,89.46845069597475,None,None,90.49189357698197,None,90.49189357698197,None,up,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",tall trial,0.9272775383698451,12,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,91.4969975730055,None,91.4969975730055,None,None,92.48994751297869,None,92.48994751297869,None,None,93.49882191402139,None,93.49882191402139,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.08789584797978067,13,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
